■□Mode - Major Scale Conversion

Db	Ab	Eb	Bb	F	C	G	D	A	E	B	F#	Level	Key		Circle of 5th

mixo	dor	aeo	phr	loc						lyd	ion	+6	F# maj.	D#min	b f+ c+ g+ d+ a+ e+
dor	aeo	phr	loc						lyd	ion	mixo	+5	B maj.	G#min	e b f+ c+ g+ d+ a+
aeo	phr	loc						lyd	ion	mixo	dor	+4	E maj.	C#min	a e b f+ c+ g+ d+
phr	loc						lyd	ion	mixo	dor	aeo	+3	A maj.	F#min	d a e b f+ c+ g+
loc						lyd	ion	mixo	dor	aeo	phr	+2	D maj.	B min	g d a e b f+ c+
					lyd	ion	mixo	dor	aeo	phr	loc	+1	G maj.	E min	c g d a e b f+
 ----	 ----	 ----	 ----	lyd	ion	mixo	dor	aeo	phr	loc	 ----	00	C maj.	A min	f c g d a e b
			lyd	ion	mixo	dor	aeo	phr	loc			-1	F maj.	D min	b- f c g d a e
		lyd	ion	mixo	dor	aeo	phr	loc				-2	Bb maj.	G min	e- b- f c g d a
	lyd	ion	mixo	dor	aeo	phr	loc					-3	Eb maj.	C min	a- e- b- f c g d
lyd	ion	mixo	dor	aeo	phr	loc						-4	Ab maj.	F min	d- a- e- b- f c g
ion	mixo	dor	aeo	phr	loc						lyd	-5	Db maj.	Bbmin	g- d- a- e- b- f c
mixo	dor	aeo	phr	loc						lyd	ion	-6	Gb maj.	Ebmin	c- g- d- a- e- b- f
